Problem;Best;Worst;Mean;Median;Std.;SR
F1;0.0;0.0;0.0;0.0;0.0;100.0
F2;0.18736332311618753;10.244882063077057;3.652388686448497;3.6647784518463595;2.42458948095196;0.0
F3;11.108415956657382;14.440270936876232;12.29720912323528;12.191995288377598;0.7564651285672346;0.0
F4;0.0;0.0;0.0;0.0;0.0;100.0
F5;0.0;0.6244289539365582;0.18039058669278346;0.2081429846455194;0.15882035651061838;33.33333333333333
F6;5.73482179788698e-06;0.02007764268955725;0.010231940433186537;0.0054929065050828285;0.008963523652762715;0.0
F7;0.0;0.0014937503092369298;0.00024185242499091448;6.820512635385967e-05;0.00040046621921089513;3.3333333333333335
F8;34.97511590244585;100.0;95.69227327698239;100.0;16.118383431230857;0.0
F9;100.0;100.0;100.0;100.0;0.0;0.0
F10;397.74286946998745;399.5849678716786;398.0498858702693;397.74286946998745;0.6865095412375193;0.0
