Problem;Best;Worst;Mean;Median;Std.;SR
F1;0.0;0.0;0.0;0.0;0.0;100.0
F2;1.4674825793617856;127.89907431625988;32.65366454123939;23.389404268556973;30.55756019727126;0.0
F3;2.9848771712798907;14.657052371238933;10.489024294548392;11.923774888029982;3.5508462314932387;0.0
F4;0.013539875213155028;0.18188980785930653;0.08478182685170547;0.07856235790654864;0.04629542854431235;0.0
F5;0.0;1.2031020417391574;0.21355588859593505;0.2081429846455194;0.2428228144447426;33.33333333333333
F6;0.021914244651270565;0.5054938950181622;0.16827738203993098;0.10376031635564686;0.1375124112938213;0.0
F7;1.0663903594831936e-05;0.006653857473793323;0.0015681331046986694;0.000959492369020154;0.0019245155223878202;0.0
F8;0.0;100.00000000000045;40.57926536146758;21.53279979601666;42.40733719482945;33.33333333333333
F9;0.0;100.00000000000045;83.33333333333357;100.00000000000045;37.2677996249966;16.666666666666664
F10;100.00003676257984;397.74286946998745;338.1943259241821;397.74286946998745;119.09708709162099;0.0
