No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;100;0;0;0;0;28654
2;100;0;0;0;0;30193
3;100;0;0;0;0;29501
4;100;0;0;0;0;29179
5;100;0;0;0;0;29818
6;100;0;0;0;0;29755
7;100;0;0;0;0;28453
8;100;0;0;0;0;28984
9;100;0;0;0;0;30500
10;100;0;0;0;0;29881
11;100;0;0;0;0;30007
12;100;0;0;0;0;30561
13;100;0;0;0;0;30193
14;100;0;0;0;0;28852
15;100;0;0;0;0;29309
16;100;0;0;0;0;29114
17;100;0;0;0;0;29818
18;100;0;0;0;0;29501
19;100;0;0;0;0;29114
20;100;0;0;0;0;29755
21;100;0;0;0;0;29437
22;100;0;0;0;0;30007
23;100;0;0;0;0;29629
24;100;0;0;0;0;29309
25;100;0;0;0;0;29309
26;100;0;0;0;0;30255
27;100;0;0;0;0;29565
28;100;0;0;0;0;29501
29;100;0;0;0;0;30378
30;100;0;0;0;0;30007
