No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2.557654574;0;0;0.0;2775;60849
2;2.557654574;0;0;0.0;1768;60969
3;2.557654574;0;0;0.0;756;60801
4;2.557654574;0;0;0.0;4028;60849
5;2.557654574;0;0;0.0;648;61201
6;2.557654574;0;0;0.0;378;60513
7;2.557654574;0;0;0.0;1026;61707
8;2.557654574;0;0;0.0;864;61201
9;2.557654574;0;0;0.0;1609;61040
10;2.557654574;0;0;0.0;2086;61063
11;2.557654574;0;0;0.0;324;61086
12;2.557654574;0;0;0.0;1079;61040
13;2.557654574;0;0;0.0;3508;60897
14;2.557654574;0;0;0.0;810;60801
15;2.557654574;0;0;0.0;6495;60489
16;2.557654574;0;0;0.0;4288;61247
17;2.557654574;0;0;0.0;1185;60993
18;2.557654574;0;0;0.0;3456;61086
19;2.557654574;0;0;0.0;1238;60921
20;2.557654574;0;0;0.0;6801;61132
21;2.557654574;0;0;0.0;3092;60897
22;2.557654574;0;0;0.0;2298;61178
23;2.557654574;0;0;0.0;2722;61063
24;2.557654574;0;0;0.0;1768;60873
25;2.557654574;0;0;0.0;2457;61063
