Problem;p-value;R+;R-;Result
1;1.0;0.0;0.0;=
2;3.725443656764684e-06;3.0;459.0;-
3;1.991167664527893e-06;26.0;439.0;-
4;0.00023163668811321259;402.0;63.0;+
5;0.7000329215079546;213.0;252.0;-
6;0.6120056137442589;258.0;207.0;+
7;0.12935307621955872;307.0;158.0;+
8;0.5164909991427307;28.0;86.0;-
9;0.061865746384467055;321.0;141.0;+
10;3.2391399145126343e-06;29.0;436.0;-
Total;0.30199889494383186;1587.0;2241.0;4/1/5
