Problem;p-value;R+;R-;Result
1;1.0;0.0;0.0;=
2;0.4521643426269293;195.0;270.0;-
3;0.7277235466695502;0.0;30.0;-
4;0.08406547829508781;148.0;317.0;-
5;0.8393927440047264;243.0;222.0;+
6;0.308520769700408;283.0;182.0;+
7;0.685047073289752;253.0;212.0;+
8;1.0;0.0;0.0;=
9;0.7343653640643093;28.5;58.5;-
10;0.019769229095060712;102.5;317.5;-
Total;0.5851048547745823;1253.0;1609.0;3/2/5
