No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;3.3860943811172577;0.8284398071172578;0.0;0.0;19918;100000
2;3.3860943811292543;0.8284398071292545;0.0;0.0;20838;100000
3;3.3860943811172257;0.8284398071172259;0.0;0.0;20121;100000
4;3.386094381117224;0.8284398071172241;0.0;0.0;19926;100000
5;3.3860943839547746;0.8284398099547747;0.0;0.0;19889;100000
6;3.386094381117224;0.8284398071172241;0.0;0.0;20279;100000
7;3.3860944026417847;0.8284398286417849;0.0;0.0;818;100000
8;3.3860943811172244;0.8284398071172245;0.0;0.0;24275;100000
9;3.3860943811172257;0.8284398071172259;0.0;0.0;55556;100000
10;2.9261992981190907;0.3685447241190909;0.0;0.0;20826;100000
11;3.3860943820364566;0.8284398080364568;0.0;0.0;99019;100000
12;3.3860943811172453;0.8284398071172454;0.0;0.0;20206;100000
13;3.386094381117225;0.828439807117225;0.0;0.0;20279;100000
14;3.3860943811182764;0.8284398071182766;0.0;0.0;20723;100000
15;3.386094381117228;0.8284398071172281;0.0;0.0;21443;100000
16;3.38609438111767;0.82843980711767;0.0;0.0;552;100000
17;3.3860943811172244;0.8284398071172245;0.0;0.0;19775;100000
18;3.386094381403923;0.8284398074039232;0.0;0.0;98302;100000
19;3.3860943811516573;0.8284398071516574;0.0;0.0;48919;100000
20;3.3860943811172257;0.8284398071172259;0.0;0.0;20161;100000
21;3.3860943811172253;0.8284398071172254;0.0;0.0;20424;100000
22;3.3860943811172426;0.8284398071172427;0.0;0.0;19678;100000
23;3.386094381117228;0.8284398071172281;0.0;0.0;19157;100000
24;3.386094381117227;0.8284398071172272;0.0;0.0;20583;100000
25;3.386094381117225;0.828439807117225;0.0;0.0;20258;100000
