Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;94.0577328461128;437.8378381759909;269.5988478046514;269.0750558897003;110.87609770105318;0.0
RC1 v;0.0;15.677559833994643;1.4842471726799167;0.04549299758843552;3.331997302483436;20.0
RC2 f;0.0;3.5963694244856015e-07;9.46352884056978e-08;9.146151569439098e-08;7.716816693951304e-08;4.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;0.0;3.100285539403558e-08;2.480228431522846e-09;0.0;8.410863828058578e-09;92.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;0.0;0.026482130410369176;0.009196976926375442;0.013472685847036425;0.007784567972686944;20.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;19.184658623174585;400.0056;384.75197080603897;399.9988000068639;74.62113701048366;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;0.14153928637527025;0.8881695911999998;0.37128836852239844;0.29959433139983616;0.3041725639112475;0.0
RC6 v;0.0;2.281475638035082;1.3284235411944736;1.7899200585515844;0.8777195224985505;28.000000000000004
RC7 f;0.21253104975833947;0.47189688136683117;0.5729177316120597;0.49222520371574463;0.31537043163649064;0.0
RC7 v;0.0;3.296926188857807;1.4494134065014246;2.2096105233552863;1.33238217405171;32.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.0;0.0;0.0;0.0;100.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.17345691669999996;0.0578425591901533;0.0;0.0801164013701139;64.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;0.5937104788140317;23.136329111296703;12.365727702603982;11.147699436771092;6.230381815929481;0.0
RC11 v;0.0;0.0;0.0;0.0;0.0;100.0
RC12 f;0.0;0.0;0.0;0.0;0.0;100.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.0;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4880.330304312578;5114.393161620581;4946.337704292685;4934.820648453948;62.506528224466145;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;4.3263753468636423e-08;1.730550138745457e-09;0.0;8.477929628458003e-09;96.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.0011091741855453613;0.00737201035552313;0.0038564203592428266;0.003527133705620078;0.0016520582179115513;0.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;5.382092218087636e-05;6.458510661705164e-06;0.0;1.748972955081452e-05;88.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.3815614484356;205.19342808586407;179.31146011042415;174.3815614484356;11.295816893512033;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;0.0;0.0;0.0;0.0;100.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;0.0;0.0;0.0;0.0;100.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
