Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;0.09961621787536501;241.87013547577294;98.91106334825825;59.13949943341004;96.40795542478696;0.0
RC1 v;0.0;5.264397365626615;0.6700666007459704;0.08946063240190424;1.2196734871843167;12.0
RC2 f;0.0;1.977878127945587e-08;3.164386725984514e-09;0.0;7.2505208568139e-09;84.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;4386.4004104922715;2079.28255756613;1970.3912450855541;1233.1524664049757;1701.8625045758376;0.0
RC3 v;0.0;3.816951062256928e-23;1.6653552193823594e-24;6.756935151620643e-48;7.482181932512259e-24;28.000000000000004
RC4 f;0.0225882115671584;0.35517883365314445;0.23824043618274132;0.2751840570149827;0.10990721815321612;0.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;0.029156400564886553;399.997539232441;246.39493172629307;393.18799056061374;173.71250991826545;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;0.4992524222157775;0.5716719799650056;0.4115058541566715;0.49128722659063606;0.2251809747214526;0.0
RC6 v;0.10350354550769249;0.5836081773756225;0.17823521547414278;0.15337261793013657;0.09395025390404581;0.0
RC7 f;0.3589984816978835;0.7746070741892792;0.43373003143139627;0.4020983938023741;0.2151511162196173;0.0
RC7 v;0.07241271405968015;1.2321790770452083;0.45474083413580885;0.24124181414132578;0.4263076615492342;0.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.0;0.0;0.0;0.0;100.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.0;0.0;0.0;0.0;100.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;19.52279837286902;21.889022626069362;15.31971298075914;16.913341163092383;9.689810629800307;0.0
RC11 v;1.1330982082195643e-29;0.0011321630535995068;0.0002209125727853147;9.420688692226996e-05;0.0003251319186859673;0.0
RC12 f;0.0;0.0;0.0;0.0;0.0;100.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.0;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4866.50716828015;4867.303713924164;4866.588176009308;4866.523241201052;0.1718934266545719;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;4.3263753468636423e-08;3.461100277490914e-09;0.0;1.1737162093314906e-08;92.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.0;0.0;0.0;0.0;0.0;100.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;0.0;0.0;0.0;0.0;100.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.3815614484356;205.19342808586407;179.31146011042415;174.3815614484356;11.295816893512033;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;0.0;0.0;0.0;0.0;100.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;7.283484876552393e-06;2.913393950620957e-07;0.0;1.427265719746519e-06;96.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
