Problem;Best;Worst;Mean;Median;Std.;SR
F1;0.0;0.0;0.0;0.0;0.0;100.0
F2;3.664779411832569;36.881729496197295;14.08791750421645;10.97475172720442;8.363565237470915;0.0
F3;10.43588814320583;13.88667834282353;11.83146314324183;11.646435662122656;0.9867175740964241;0.0
F4;0.12824100469697441;0.21950530982371674;0.1778843468538298;0.17905669301933358;0.02490382147500769;0.0
F5;0.0;8.12757504176011;0.6726410626577187;0.3122144769682791;1.4776096151856983;23.333333333333332
F6;0.01965889409848387;0.6181401345606901;0.222112703473249;0.16629567439088078;0.17908582286324512;0.0
F7;4.1231760405935347e-07;0.4999287406908479;0.0992347336680723;0.0033345910826483305;0.18587767764441485;0.0
F8;100.0;100.0;100.0;100.0;0.0;0.0
F9;0.0;337.4573793298491;308.9832021966906;326.9210524729501;67.71328135293905;3.3333333333333335
F10;397.74286946998745;445.7929384059771;413.270242174879;398.00898944057735;21.622235641190528;0.0
