No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2.0;0.0;0.0;0.0;72;4489
2;2.0;0.0;0.0;0.0;72;3964
3;2.0;0.0;0.0;0.0;72;4034
4;2.0;0.0;0.0;0.0;72;3474
5;2.0;0.0;0.0;0.0;72;9840
6;2.0;0.0;0.0;0.0;72;3824
7;2.0;0.0;0.0;0.0;72;3929
8;2.0;0.0;0.0;0.0;72;4034
9;2.0;0.0;0.0;0.0;72;3299
10;2.0;0.0;0.0;0.0;72;3684
11;2.0;0.0;0.0;0.0;72;4139
12;2.0;0.0;0.0;0.0;72;3544
13;2.0;0.0;0.0;0.0;72;3894
14;2.0;0.0;0.0;0.0;72;3754
15;2.0;0.0;0.0;0.0;72;6535
16;2.0;0.0;0.0;0.0;72;4489
17;2.0;0.0;0.0;0.0;72;3859
18;2.0;0.0;0.0;0.0;72;5311
19;2.0;0.0;0.0;0.0;72;4869
20;2.0;0.0;0.0;0.0;72;3684
21;2.0;0.0;0.0;0.0;72;3649
22;2.0;0.0;0.0;0.0;72;3299
23;2.0;0.0;0.0;0.0;72;4034
24;2.0;0.0;0.0;0.0;72;5073
25;2.0;0.0;0.0;0.0;72;5685
