No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;1705.8994709674926;5.899470967492562;0;0;0;10000000
2;1708.6761776659919;8.676177665991872;0;0;0;10000000
3;1826.1195532233367;126.11955322333665;0;0;0;10000000
4;1707.4851345437855;7.485134543785534;0;0;0;10000000
5;1700.3122557091706;0.31225570917058576;0;0;0;10000000
6;1709.7752219594754;9.775221959475402;0;0;0;10000000
7;1701.307214766264;1.3072147662639964;0;0;0;10000000
8;1707.7853038452888;7.785303845288809;0;0;0;10000000
9;1701.203129529874;1.2031295298741043;0;0;0;10000000
10;1702.3021738233572;2.3021738233571796;0;0;0;10000000
11;1705.078880521857;5.078880521856945;0;0;0;10000000
12;1704.3961771739341;4.39617717393412;0;0;0;10000000
13;1701.203129529874;1.2031295298741043;0;0;0;10000000
14;1700.3122557091706;0.31225570917058576;0;0;0;10000000
15;1823.6213003726848;123.6213003726848;0;0;0;10000000
16;1700.3122557091708;0.31225570917081313;0;0;0;10000000
17;1709.671136723085;9.671136723085056;0;0;0;10000000
18;1701.3072147662645;1.307214766264451;0;0;0;10000000
19;1702.1980885869673;2.1980885869672875;0;0;0;10000000
20;1821.2862776981149;121.28627769811487;0;0;0;10000000
21;1700.2081704727802;0.20817047278023892;0;0;0;10000000
22;1700.3122557091706;0.31225570917058576;0;0;0;10000000
23;1701.5153852390447;1.51538523904469;0;0;0;10000000
24;1719.7465229462452;19.74652294624525;0;0;0;10000000
25;1704.083921464763;4.08392146476308;0;0;0;10000000
26;1706.894430024586;6.894430024585972;0;0;0;10000000
27;1701.2031295298736;1.2031295298736495;0;0;0;10000000
28;1713.2684338672204;13.268433867220438;0;0;0;10000000
29;1706.7903447881956;6.790344788195625;0;0;0;10000000
30;1701.5153852390447;1.51538523904469;0;0;0;10000000
