No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;189.311629686052;2.60523620454478e-08;0.0;0;1730;100000
2;189.311629686245;2.62453170307708e-08;0.0;0;830;100000
3;189.311629686052;2.60522199369007e-08;0.0;0;380;100000
4;189.311629681601;2.16013233966805e-08;0.0;0;380;100000
5;189.311629686052;2.60522483586101e-08;0.0;0;1880;100000
6;189.311629686068;2.60679655639251e-08;0.0;0;2480;100000
7;189.311629681125;2.11250039683364e-08;0.0;0;1880;100000
8;189.311629686264;2.62639048287383e-08;0.0;0;1130;100000
9;189.311629686276;2.62756714164425e-08;0.0;0;1730;100000
10;189.311629686265;2.62653543359193e-08;0.0;0;1880;100000
11;189.311629686052;2.60521915151912e-08;0.0;0;1730;100000
12;189.311629686052;2.60522483586101e-08;0.0;0;380;100000
13;189.311629686052;2.60523052020289e-08;0.0;0;1280;100000
14;189.311629686262;2.62624553215574e-08;0.0;0;680;100000
15;189.311629686225;2.62251091953658e-08;0.0;0;1880;100000
16;189.311629685948;2.59477701547439e-08;0.0;0;2780;100000
17;189.311629686052;2.60522483586101e-08;0.0;0;1130;100000
18;189.311629686133;2.61334776041622e-08;0.0;0;1730;100000
19;189.311629686058;2.60583874478471e-08;0.0;0;530;100000
20;189.311629686282;2.62820663010643e-08;0.0;0;380;100000
21;189.311629686304;2.63044057646766e-08;0.0;0;1580;100000
22;189.311629686387;2.63867718786059e-08;0.0;0;380;100000
23;189.311629686052;2.60522199369007e-08;0.0;0;1280;100000
24;189.311629686314;2.63137849287887e-08;0.0;0;830;100000
25;189.311629686261;2.62613184531801e-08;0.0;0;1580;100000
