No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2500.844000036587;100.8440000365872;0;0;0;10000000
2;2500.0;100.0;0;0;0;10000000
3;2813.813828680627;413.813828680627;0;0;0;10000000
4;2808.7862322900387;408.7862322900387;0;0;0;10000000
5;2818.488200360539;418.48820036053894;0;0;0;10000000
6;2815.140267309934;415.1402673099342;0;0;0;10000000
7;2816.4320059731886;416.43200597318855;0;0;0;10000000
8;2601.439052966999;201.43905296699904;0;0;0;10000000
9;2500.0;100.0;0;0;0;10000000
10;2500.0;100.0;0;0;0;10000000
11;2508.2494337486423;108.24943374864233;0;0;0;10000000
12;2502.5984616010264;102.59846160102643;0;0;0;10000000
13;2500.0;100.0;0;0;0;10000000
14;2500.1942128935675;100.19421289356751;0;0;0;10000000
15;2812.948490757295;412.9484907572951;0;0;0;10000000
16;2816.951328040361;416.9513280403612;0;0;0;10000000
17;2500.0000000000005;100.00000000000045;0;0;0;10000000
18;2500.55581145428;100.55581145428005;0;0;0;10000000
19;2600.0;200.0;0;0;0;10000000
20;2611.502127742442;211.5021277424421;0;0;0;10000000
21;2500.0000000000005;100.00000000000045;0;0;0;10000000
22;2500.007649981147;100.0076499811471;0;0;0;10000000
23;2500.0;100.0;0;0;0;10000000
24;2819.694952744142;419.69495274414203;0;0;0;10000000
25;2500.0;100.0;0;0;0;10000000
26;2501.848615776663;101.84861577666288;0;0;0;10000000
27;2500.0;100.0;0;0;0;10000000
28;2816.179803558345;416.17980355834516;0;0;0;10000000
29;2806.6756523165145;406.6756523165145;0;0;0;10000000
30;2809.666215932685;409.6662159326852;0;0;0;10000000
