Algorithm;Score1;Score2;PM
EnMODE;24.6209758226833;30.103359173126616;54.72433499580991
IMODE;34.87834357411019;50.0;84.87834357411019
j2020;50.0;43.55140186915888;93.55140186915888
esCMAgES;13.068357351899657;22.643343051506314;35.71170040340597
AGSK;44.798778865884195;45.5078125;90.3065913658842
COLSHADE;23.370599016977938;29.125;52.495599016977934
