No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2600.022;100.022;0.0;0.0;0;1e+06
2;2700.0;200;0.0;0.0;0;1e+06
3;2600.04;100.04;0.0;0.0;0;1e+06
4;2600.015;100.015;0.0;0.0;0;1e+06
5;2600.007;100.007;0.0;0.0;0;1e+06
6;2600.098;100.098;0.0;0.0;0;1e+06
7;2800.0;300;0.0;0.0;0;1e+06
8;2600.008;100.008;0.0;0.0;0;1e+06
9;2600.105;100.105;0.0;0.0;0;1e+06
10;2897.743;397.743;0.0;0.0;0;1e+06
11;2600.031;100.031;0.0;0.0;0;1e+06
12;2600.076;100.076;0.0;0.0;0;1e+06
13;2600.015;100.015;0.0;0.0;0;1e+06
14;2800.0;300;0.0;0.0;0;1e+06
15;2600.057;100.057;0.0;0.0;0;1e+06
16;2600.041;100.041;0.0;0.0;0;1e+06
17;2600.072;100.072;0.0;0.0;0;1e+06
18;2600.092;100.092;0.0;0.0;0;1e+06
19;2600.016;100.016;0.0;0.0;0;1e+06
20;2600.036;100.036;0.0;0.0;0;1e+06
21;2600.083;100.083;0.0;0.0;0;1e+06
22;2800.0;300;0.0;0.0;0;1e+06
23;2600.023;100.023;0.0;0.0;0;1e+06
24;2600.018;100.018;0.0;0.0;0;1e+06
25;2600.044;100.044;0.0;0.0;0;1e+06
26;2600.1;100.1;0.0;0.0;0;1e+06
27;2897.743;397.743;0.0;0.0;0;1e+06
28;2600.024;100.024;0.0;0.0;0;1e+06
29;2600.166;100.166;0.0;0.0;0;1e+06
30;2600.027;100.027;0.0;0.0;0;1e+06
