No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;1700;0;0;0;0;32857
2;1700;0;0;0;0;32965
3;1700;0;0;0;0;32419
4;1700;0;0;0;0;34511
5;1700;0;0;0;0;34658
6;1700;0;0;0;0;34560
7;1700;0;0;0;0;34997
8;1700;0;0;0;0;33703
9;1700;0;0;0;0;33073
10;1700;0;0;0;0;32308
11;1700;0;0;0;0;33806
12;1700;0;0;0;0;34162
13;1700;0;0;0;0;34010
14;1700;0;0;0;0;33599
15;1700;0;0;0;0;29944
16;1700;0;0;0;0;35235
17;1700;0;0;0;0;32965
18;1700;0;0;0;0;32803
19;1700;0;0;0;0;34010
20;1700;0;0;0;0;33755
21;1700;0;0;0;0;35516
22;1700;0;0;0;0;33703
23;1700;0;0;0;0;34707
24;1700;0;0;0;0;33391
25;1700;0;0;0;0;33495
26;1700;0;0;0;0;33073
27;1700;0;0;0;0;33651
28;1700;0;0;0;0;33179
29;1700;0;0;0;0;33391
30;1700;0;0;0;0;33338
