Algorithm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;Total
esCMAgES;1.5;1.5;2.0;1.5;1.5;1.5;1.5;1.5;2.0;1.5;2.0;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;31.5
esCMAgES_org;1.5;1.5;1.0;1.5;1.5;1.5;1.5;1.5;1.0;1.5;1.0;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;28.5
