Algorithm;1;2;3;4;Total
IMODE;2.5;2.0;4.0;1.0;9.5
EnMODE;2.5;1.0;1.0;2.0;6.5
COLSHADE;2.5;3.0;3.0;3.0;11.5
AGSK;2.5;4.0;2.0;4.0;12.5
