Problem;p-value;R+;R-;Result
1;1.0;0.0;0.0;=
2;0.5504772963330296;255.0;200.0;+
3;0.01564398057962492;91.0;329.0;-
4;1.0;0.0;0.0;=
5;9.313225746154785e-09;462.0;3.0;+
6;3.725290298461914e-09;464.0;1.0;+
7;4.7124922275543213e-07;447.0;18.0;+
8;0.0001318338889828333;0.0;399.0;-
9;0.0006549583433856954;0.0;345.0;-
10;1.862645149230957e-09;0.0;465.0;-
Total;0.25669085552954074;1719.0;1760.0;4/2/4
