Problem;p-value;R+;R-;Result
1;5.960464477539063e-08;0.0;325.0;-
2;1.0;0.0;0.0;=
3;1.0;0.0;0.0;=
4;0.7316532773149811;172.0;152.0;-
5;5.960464477539063e-08;0.0;325.0;-
Total;0.5463306793048541;172.0;802.0;0/2/3
